geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
FBgn0032436,FBgn0032436,down - up,1.14092150910108,0.24954172073783,127,0.549131050141533,1.73271196806063,4.57206717068262,3.35219654370444e-05
kek4,FBgn0032484,down - up,-0.360586986479336,0.089946222892199,127,-0.573895271641701,-0.147278701316971,-4.00891749408423,0.000302927552219168
ChLD3,FBgn0032598,down - up,1.13686007223863,0.40220066682509,127,0.183037535027229,2.09068260945004,2.82659917302682,0.0150066203602517
CG10341,FBgn0032701,down - up,-0.190388408819935,0.0655417597185851,127,-0.34582128773972,-0.0349555299001498,-2.90484127428682,0.0119859387594846
CG10366,FBgn0032814,down - up,-0.0911989061034563,0.022998759920741,127,-0.145740674304594,-0.0366571379023183,-3.96538363014999,0.000356084937872314
Tsp39D,FBgn0032943,down - up,-0.231667419605789,0.0579633751983431,127,-0.369128090751477,-0.0942067484601011,-3.99678967646473,0.000316923802842983
Dgat2,FBgn0033215,down - up,0.710633982458858,0.183468672642195,127,0.275536357634457,1.14573160728326,3.87332601378086,0.000499114964611524
coil,FBgn0033265,down - up,-0.199087431975858,0.0444710561637312,127,-0.304550945891432,-0.0936239180602839,-4.47678668217072,4.93263415430878e-05
FBgn0033353,FBgn0033353,down - up,0.745428353423854,0.150647843373112,127,0.388165623538682,1.10269108330903,4.94815150839988,6.93361223869093e-06
Cyp4p3,FBgn0033397,down - up,0.397726093697979,0.164499742338917,127,0.00761345950743797,0.78783872788852,2.41779159069167,0.0446088683529929
FBgn0033683,FBgn0033683,down - up,0.224882017366636,0.0661243849071826,127,0.0680674375162729,0.381696597217,3.40089390142983,0.00257044962757103
CG8407,FBgn0033687,down - up,0.245211391711199,0.0726842594383873,127,0.0728400097835702,0.417582773638828,3.37365192417017,0.00281118933913116
CG8854,FBgn0033702,down - up,0.286966652419763,0.097945090414272,127,0.0546889802224442,0.519244324617082,2.92987276040074,0.0111424123053878
DJ-1α,FBgn0033885,down - up,-0.624604178300493,0.148735082659268,127,-0.97733077876659,-0.271877577834397,-4.19944082548014,0.000147114030663587
FBgn0033963,FBgn0033963,down - up,-0.607168136455659,0.17384022540531,127,-1.01943181113923,-0.194904461772084,-3.49267918308343,0.00189334074732517
FBgn0034128,FBgn0034128,down - up,0.238806717179302,0.0891600427621516,127,0.027362865341392,0.450250569017211,2.67840514406611,0.0226485178886576
CG4945,FBgn0034137,down - up,-0.11610115128076,0.0399070509106414,127,-0.210741085253734,-0.0214612173077853,-2.90928917650992,0.0118319647073655
FBgn0034151,FBgn0034151,down - up,1.05379215555208,0.444132294759361,127,0.000528381553607238,2.10705592955056,2.37269878364294,0.0498547830218832
CG4984,FBgn0034267,down - up,-0.189895895187833,0.0681014144420062,127,-0.351399018550401,-0.0283927718252644,-2.78842806340747,0.0167146621731983
CG10916,FBgn0034312,down - up,0.198975547554233,0.0484354704289499,127,0.0841103891738266,0.313840705934639,4.10805440294238,0.00020864216323957
CG15093,FBgn0034390,down - up,0.365277928910515,0.131811663878026,127,0.0526853699109269,0.677870487910102,2.77121096998313,0.017540386896474
CG15097,FBgn0034396,down - up,0.179790658694772,0.0376090469335779,127,0.0906004620412985,0.268980855348246,4.78051621494967,1.41348800248853e-05
CG9864,FBgn0034490,down - up,-0.518510075744933,0.114844420287211,127,-0.790864662343762,-0.246155489146105,-4.51489131512186,4.22936219088843e-05
Rbpn-5,FBgn0034585,down - up,-0.140715713023245,0.0302133979539843,127,-0.21236706089826,-0.0690643651482313,-4.65739448563709,2.36116830012456e-05
ASPP,FBgn0034606,down - up,-0.155755280173324,0.0365517763410002,127,-0.242438150006353,-0.0690724103402955,-4.2612232773654,0.000115809554864565
BBS9,FBgn0034622,down - up,0.265941158429432,0.0979267152206152,127,0.0337070631708925,0.498175253687971,2.71571611311891,0.0204548828254409
TAF1C-like,FBgn0034631,down - up,-0.220736064111382,0.0632288332784275,127,-0.370683816954801,-0.0707883112679642,-3.49106653825753,0.00190364172661028
FBgn0034693,FBgn0034693,down - up,-0.218258036435805,0.0370461257385651,127,-0.306113260358588,-0.130402812513023,-5.89152123425955,9.65145028342107e-08
FBgn0034750,FBgn0034750,down - up,-0.0962330231613802,0.0272964808424271,127,-0.160966875592781,-0.0314991707299796,-3.52547362119313,0.00169483636493573
