geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
FBgn0031023,FBgn0031023,down - control,-0.243735559659664,0.023758545278696,127,-0.300079165743323,-0.187391953576005,-10.2588587306403,2.8643754035329e-14
CG15459,FBgn0031108,down - control,-1.16156671141364,0.262057164871621,127,-1.78303765989663,-0.540095762930657,-4.4324936201713,5.89188477877478e-05
CG17660,FBgn0031356,down - control,-0.0876802874654104,0.0206372868846954,127,-0.136621800896765,-0.038738774034056,-4.24863442347327,0.000121619332047573
Rim2,FBgn0031359,down - control,-0.143431831899344,0.0350746136995567,127,-0.226611597101399,-0.0602520666972882,-4.0893346147147,0.000223972937085204
CG10874,FBgn0031395,down - control,0.145639205130112,0.0424829090113263,127,0.0448906002578922,0.246387810002333,3.42818343939874,0.00234864150941894
Elba2,FBgn0031435,down - control,0.595531010641348,0.13072647152127,127,0.285511995179751,0.905550026102946,4.55555025475044,3.5857255604288e-05
α4GT1,FBgn0031491,down - control,0.0924376923744172,0.0332536637434158,127,0.0135763265450229,0.171299058203811,2.77977467648869,0.0171252334890303
FBgn0031542,FBgn0031542,down - control,-0.630554266904305,0.163395413745156,127,-1.01804797579686,-0.243060558011753,-3.85906955679776,0.000525637569813053
Coq6,FBgn0031713,down - control,-0.180195617152578,0.040785681519288,127,-0.276919231600342,-0.0834720027048145,-4.41810974930901,6.24029408908822e-05
CG11050,FBgn0031836,down - control,-0.20451869081304,0.0375491870132083,128,-0.293558691459455,-0.115478690166625,-5.44668758716663,7.55631314630634e-07
Tg,FBgn0031975,down - control,-0.266947390268114,0.055696354373862,127,-0.399031800922275,-0.134862979613953,-4.79290598584296,1.34171825376672e-05
FBgn0032025,FBgn0032025,down - control,-0.31256991157844,0.0638668661121236,127,-0.46403076508642,-0.16110905807046,-4.89408562852759,8.73895507769173e-06
CG5676,FBgn0032200,down - control,-0.111907439502887,0.0292529518566503,128,-0.181274663121057,-0.0425402158847177,-3.82550930419852,0.000591565970982644
CG4953,FBgn0032204,down - control,-0.148564366515268,0.0343582744047078,127,-0.230045326568365,-0.0670834064621717,-4.32397636637165,9.06002480740575e-05
Cox10,FBgn0032222,down - control,-0.119792363479926,0.0276498115210216,127,-0.185364142827241,-0.0542205841326104,-4.33248390821218,8.76179291231516e-05
FBgn0032286,FBgn0032286,down - control,-1.13454909398657,0.277528098123739,127,-1.79270950130126,-0.476388686671885,-4.08805126996807,0.000225062405064813
CG17124,FBgn0032297,down - control,0.174565373535922,0.0383415453961673,127,0.0836380501203131,0.265492696951531,4.55290395137208,3.62457016485074e-05
escl,FBgn0032391,down - control,-0.245314766876756,0.0634565715880889,127,-0.395802603191583,-0.09482693056193,-3.86586858913763,0.000512826288951218
FBgn0032436,FBgn0032436,down - control,1.51691351250743,0.249675180919644,127,0.92480655151361,2.10902047350125,6.07554786551104,3.99942513551466e-08
ChLD3,FBgn0032598,down - control,1.66355259677333,0.402268656273961,127,0.709568821965929,2.61753637158072,4.13542683683608,0.000188016688853043
FBgn0032772,FBgn0032772,down - control,-0.325322748788054,0.0675424005565672,127,-0.485500165640101,-0.165145331936006,-4.81657071864945,1.21431727311272e-05
CG10366,FBgn0032814,down - control,-0.0675660715443395,0.0230136009779084,127,-0.122143035447449,-0.0129891076412302,-2.93591913795667,0.0109468765792167
Tsp39D,FBgn0032943,down - control,-0.345661866780048,0.0579971094180782,127,-0.483202538934468,-0.208121194625628,-5.95998438970998,6.9657329793138e-08
CG7881,FBgn0033048,down - control,-2.45789941413453,0.603709973949389,127,-3.88960310482646,-1.0261957234426,-4.07132484172041,0.000239732464472509
FBgn0033140,FBgn0033140,down - control,-0.274040618358968,0.106595551990991,127,-0.526832938814551,-0.0212482979033846,-2.57084477954697,0.0301764250125727
Dgat2,FBgn0033215,down - control,0.608745649489569,0.18352191037868,127,0.173521770889185,1.04396952808995,3.31701892288218,0.0033801548632727
Nop17l,FBgn0033224,down - control,0.116383315629368,0.0315510600599803,127,0.041559689911196,0.19120694134754,3.68872917132157,0.000965172719806895
coil,FBgn0033265,down - control,-0.11602017716541,0.0444954337281709,127,-0.221541502696635,-0.0104988516341858,-2.60746255164506,0.0273986074034839
CG2121,FBgn0033289,down - control,-0.369957104758306,0.0568231685394164,128,-0.504701299398292,-0.23521291011832,-6.51067362605236,4.63291516261677e-09
CG12780,FBgn0033301,down - control,1.68507956903812,0.333340889264962,127,0.894558620217109,2.47560051785912,5.0551241185977,4.36616572574433e-06
FBgn0033353,FBgn0033353,down - control,0.554600377160558,0.150783932123791,127,0.197014911566161,0.912185842754956,3.67811324024392,0.00100174919014551
