geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
CG1677,FBgn0029941,socArena - vial,0.0570414564894319,0.0111014878625508,127,0.0350736154427499,0.0790092975361139,5.13818122360452,1.01818252754318e-06
CG2260,FBgn0030000,socArena - vial,0.103150769259946,0.0258871422949796,127,0.0519247863890087,0.154376752130884,3.98463330114081,0.000113225629539117
GIIIspla2,FBgn0030013,socArena - vial,-0.267688503002296,0.0497483463911181,127,-0.366131502660204,-0.169245503344387,-5.38085227793798,3.44718449464966e-07
CG1354,FBgn0030151,socArena - vial,-0.0874922601739214,0.0221986944447088,127,-0.131419470386011,-0.0435650499618322,-3.94132458518414,0.000133057153851539
FBgn0030294,FBgn0030294,socArena - vial,-0.118208638913431,0.0256919702108673,127,-0.169048411451699,-0.0673688663751633,-4.60099548392869,1.00424378018373e-05
CG1673,FBgn0030482,socArena - vial,0.588413271972322,0.0550949678473583,127,0.479390273332145,0.6974362706125,10.6799821283594,2.15954971348304e-19
GstT4,FBgn0030484,socArena - vial,-0.131147036264633,0.0284677364911415,127,-0.187479549342076,-0.074814523187189,-4.60686561102048,9.80276853076997e-06
CG9519,FBgn0030589,socArena - vial,-0.266252964162088,0.0544298769938468,127,-0.373959868028985,-0.158546060295191,-4.89166940781784,2.96716787456355e-06
Lsd-2,FBgn0030608,socArena - vial,-0.131381676919826,0.0267846174636826,127,-0.184383601186504,-0.0783797526531479,-4.90511679317305,2.80130523501649e-06
Cyp308a1,FBgn0030949,socArena - vial,-0.499619755950074,0.113521272443559,127,-0.724257867465712,-0.274981644434436,-4.40111130888245,2.25888070889455e-05
Alr,FBgn0031068,socArena - vial,0.111811304047139,0.0281857338705153,127,0.056036823264228,0.16758578483005,3.96694670292418,0.000120957526794899
CG4822,FBgn0031220,socArena - vial,-0.156769539975057,0.0311081938482844,127,-0.218327041651365,-0.0952120382987493,-5.03949347685137,1.56833375470319e-06
daw,FBgn0031461,socArena - vial,0.433998460755571,0.0400104400865185,127,0.354825020320311,0.513171901190832,10.8471303943944,8.36274524224688e-20
WDR79,FBgn0031782,socArena - vial,0.114300041944833,0.0280965511876545,127,0.0587020375969243,0.169898046292742,4.06811644537555,8.26733428110372e-05
FBgn0031800,FBgn0031800,socArena - vial,-0.399958949957268,0.0989387605901132,127,-0.595740902152272,-0.204176997762265,-4.04248999655687,9.1095023698938e-05
Nepl4,FBgn0031805,socArena - vial,0.327703520821007,0.0553398435618852,127,0.21819595733335,0.437211084308665,5.92165607505819,2.79406238047304e-08
CG5958,FBgn0031913,socArena - vial,0.298516508791564,0.0705361766572815,127,0.158938144518885,0.438094873064243,4.23210504082161,4.40103403333877e-05
SLC5A11,FBgn0031998,socArena - vial,-0.141181112730307,0.0292160557031298,127,-0.198994414482626,-0.0833678109779872,-4.83231255323704,3.82038087080241e-06
Snx6,FBgn0032005,socArena - vial,-0.0645382441189446,0.0144284883106812,127,-0.0930896186443522,-0.0359868695935371,-4.47297337941965,1.69233658945221e-05
Lip4,FBgn0032264,socArena - vial,-0.189446409692016,0.0459538974664792,127,-0.280380879694417,-0.0985119396896157,-4.12253193170844,6.71913457625967e-05
Mal-B2,FBgn0032382,socArena - vial,-0.203017943792746,0.0442390653660871,127,-0.290559070536155,-0.115476817049337,-4.58911014762026,1.05451583535607e-05
CG6770,FBgn0032400,socArena - vial,-0.13920672862083,0.032742599366321,127,-0.203998423863854,-0.074415033377805,-4.25154787081498,4.07955970897645e-05
FBgn0032587,FBgn0032587,socArena - vial,-0.251375537059232,0.0469263513126924,127,-0.344234317729116,-0.158516756389348,-5.35680976737779,3.84258844670192e-07
Nepl9,FBgn0032613,socArena - vial,-0.379950203243636,0.0524227086522162,127,-0.483685283186677,-0.276215123300595,-7.2478170817977,3.64716025608177e-11
CG13284,FBgn0032614,socArena - vial,-0.143410252087383,0.0318625682580561,127,-0.206460524582227,-0.0803599795925387,-4.50090058421838,1.51145848123081e-05
CG10383,FBgn0032699,socArena - vial,-0.214285212986006,0.0463840080384068,127,-0.306070794190219,-0.122499631781793,-4.61980803402271,9.29371796158191e-06
FBgn0032785,FBgn0032785,socArena - vial,0.210871506540557,0.0470090820330257,127,0.117849016705157,0.303893996375956,4.48576099385245,1.60706390279242e-05
