geneName,geneID,contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
bgm,FBgn0027348,control - up,-0.488940725726187,0.0914665131019063,127,-0.705854392939675,-0.272027058512699,-5.34557084494343,1.20705000095089e-06
VhaSFD,FBgn0027779,control - up,0.152901460025873,0.0376635410590145,128,0.0635902928077581,0.242212627243989,4.05966767135076,0.000249510976328637
Ube4A,FBgn0028467,control - up,0.104424684732984,0.0383582214485913,127,0.0134578139074734,0.195391555558495,2.72235470752827,0.0200849576920509
CG31775,FBgn0028537,control - up,-1.3276568364126,0.500722955729678,127,-2.5151258772876,-0.140187795537604,-2.65147986770025,0.0243582018739953
Atf3,FBgn0028550,control - up,-0.293004099938246,0.0568904780105268,127,-0.427920385650842,-0.158087814225651,-5.15031882636019,2.87840428891961e-06
Vha100-2,FBgn0028670,control - up,0.171263058023495,0.0379192920232613,127,0.0813371123198393,0.261189003727151,4.51651517961979,4.20164701957493e-05
Spn55B,FBgn0028983,control - up,-0.257032683837136,0.0888719730384458,127,-0.467793375706844,-0.0462719919674273,-2.89216808234857,0.012434611665096
CG15343,FBgn0030029,control - up,-0.39610553202342,0.0886686073886829,127,-0.606383940406207,-0.185827123640633,-4.4672578456891,5.12537097693277e-05
CG15369,FBgn0030105,control - up,-1.20767966293903,0.371444375330248,127,-2.0885633753086,-0.326795950569455,-3.25130690662711,0.00417328710318587
CG2961,FBgn0030187,control - up,-0.338499031272753,0.115292434943598,127,-0.611916088701469,-0.0650819738440375,-2.93600383614372,0.0109441596761579
FBgn0030202,FBgn0030202,control - up,-1.01723547673137,0.326108357430687,127,-1.79060441056671,-0.243866542896031,-3.11931740954409,0.00630868688343977
CG10347,FBgn0030342,control - up,-0.125136445504997,0.0416528444481164,127,-0.223916544720626,-0.026356346289369,-3.00427130879069,0.00894263524134953
CG15747,FBgn0030474,control - up,0.178237013619789,0.0370025299182439,127,0.0904851775811655,0.265988849658412,4.81688722402492,1.21269543634783e-05
sbm,FBgn0030574,control - up,0.112413069853836,0.038993127796535,127,0.0199405128531433,0.204885626854528,2.88289440232658,0.0127724619141704
CG9514,FBgn0030592,control - up,-0.345036560225534,0.099839758138952,127,-0.581807454153668,-0.1082656662974,-3.45590340618944,0.00214169693610078
CG3632,FBgn0030735,control - up,0.0979854496838218,0.0332512438497874,127,0.019129822654163,0.17684107671348,2.94682057989985,0.010602157380585
CG9981,FBgn0030746,control - up,-0.766333627714559,0.255318953666282,127,-1.37182484707656,-0.160842408352555,-3.00147567076514,0.00901758002736652
ppk28,FBgn0030795,control - up,-0.414867035687965,0.099047944084224,127,-0.649760135388053,-0.179973935987876,-4.18854767278348,0.000153414058001733
FBgn0030895,FBgn0030895,control - up,0.498867563532916,0.112759190627508,127,0.231458118025939,0.766277009039894,4.42418538796444,6.09077712750983e-05
Ggt-1,FBgn0030932,control - up,0.151685636582599,0.0536280445358123,127,0.0245062415094432,0.278865031655754,2.82847599414714,0.0149268233697895
FBgn0031023,FBgn0031023,control - up,0.0782036700991693,0.0238816552321952,127,0.0215681076417689,0.13483923255657,3.27463357706219,0.0038738963073115
Rim2,FBgn0031359,control - up,0.0862863276510577,0.0351817507243753,127,0.00285248602081442,0.169720169281301,2.45258765906937,0.0408903273185235
CG10874,FBgn0031395,control - up,-0.160817202486303,0.0425462955176181,127,-0.261716129034351,-0.0599182759382549,-3.77981679790923,0.000699156722416938
α4GT1,FBgn0031491,control - up,-0.104941002442845,0.0333110111519936,127,-0.183938368172945,-0.0259436367127446,-3.15033974693874,0.00573183990209081
FBgn0031542,FBgn0031542,control - up,0.423811269824842,0.16352891193277,127,0.0360009687669202,0.811621570882764,2.59165957148348,0.0285686862303683
CG11034,FBgn0031741,control - up,-0.983075486350122,0.203355078292315,127,-1.46533390293289,-0.500817069767359,-4.83428048419322,1.12672393008939e-05
CG11050,FBgn0031836,control - up,0.164280837223766,0.0377207407755404,128,0.0748340329066469,0.253727641540886,4.35518586979322,7.97117586115448e-05
Gas41,FBgn0031873,control - up,0.234252092496303,0.0462577697525239,127,0.124551371064429,0.343952813928177,5.06405937315043,4.19955533670358e-06
Tg,FBgn0031975,control - up,0.227702324154181,0.055878803242222,127,0.0951852343503203,0.360219413958042,4.07493201254047,0.00023649363262257
FBgn0032025,FBgn0032025,control - up,0.241041759567277,0.0640134984487018,127,0.089233166140275,0.392850352994279,3.76548330287618,0.00073583069339056
CG13124,FBgn0032156,control - up,0.123969281300628,0.0273340211235133,128,0.0591523983771539,0.188786164224102,4.53534738780115,3.87022037144913e-05
CG5676,FBgn0032200,control - up,0.0930834036348609,0.0293755244593007,128,0.0234255248657453,0.162741282403976,3.16874014500835,0.00540437471381494
FBgn0032286,FBgn0032286,control - up,0.678944236470408,0.277820645461155,127,0.0200900504859058,1.33779842245491,2.44382211172042,0.0418010548002676
kek4,FBgn0032484,control - up,-0.271294292016253,0.0900865076730382,127,-0.484935263811509,-0.0576533202209976,-3.01148639262268,0.0087518242729071
Tpr2,FBgn0032586,control - up,0.109767551110875,0.0254030520372558,128,0.0495295553049329,0.170005546916817,4.32103791898277,9.12053553224768e-05
CG10341,FBgn0032701,control - up,-0.199475558516034,0.0656622530682326,127,-0.355194188509742,-0.0437569285223257,-3.03790304467241,0.00808439056994792
FBgn0032772,FBgn0032772,control - up,0.381098557262577,0.0677644445479435,127,0.220394561066694,0.541802553458461,5.62387192582903,3.38715595016303e-07
CG7881,FBgn0033048,control - up,2.56930708128446,0.603880026036311,127,1.13720011052269,4.00141405204623,4.25466478523662,0.000118802301768639
FBgn0033140,FBgn0033140,control - up,0.415401983573889,0.10693667625087,127,0.161800683835327,0.669003283312452,3.88456045332257,0.000479113653427121
CG2121,FBgn0033289,control - up,0.3780508179718,0.0570778464247953,128,0.242702708283779,0.513398927659822,6.62342470243535,2.63099386721422e-09
CG12780,FBgn0033301,control - up,-1.05592075629782,0.335007463267148,127,-1.85039400051347,-0.261447512082168,-3.15193203757311,0.00570358095994672
