gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0011206,FBtr0076541,down - control,-0.337424548876518,0.0683156715490618,404,-4.93919683764203,4.02482776540314e-05
FBgn0040832,FBtr0076699,down - control,0.585585881918573,0.181979006761414,268,3.21787601954721,0.0179868547487504
FBgn0052365,FBtr0339897,down - control,-0.34431785061553,0.112804485025204,268,-3.05234185093438,0.0297636390107344
FBgn0011817,FBtr0076755,down - control,0.393762605672241,0.0899693243712498,404,4.37663179560422,0.000517858101056534
FBgn0028582,FBtr0076795,down - control,-0.579549460661185,0.0994449288666671,948,-5.82784328236815,1.59433942070741e-06
FBgn0024542,FBtr0076835,down - control,-0.784826614291391,0.150294204504765,268,-5.22193531598557,5.26799577815762e-06
FBgn0011640,FBtr0076843,down - control,0.396622030797319,0.0873683011465174,677,4.53965598040164,0.000644276866747173
FBgn0082598,FBtr0332730,down - control,0.935673656404604,0.201576971139819,540,4.64176860637319,0.000270254897706934
FBgn0005626,FBtr0076956,down - control,0.749020371679935,0.197090114023366,268,3.80039544546173,0.00244475951017598
FBgn0035710,FBtr0076960,down - control,-0.494083582965976,0.0832089866600535,269,-5.93786323807225,1.32749403247701e-07
FBgn0035676,FBtr0077049,down - control,-1.01106969177959,0.311939908291411,268,-3.24123225308849,0.0167136443088246
FBgn0002638,FBtr0077076,down - control,0.543648179439969,0.158042281782634,404,3.43989072612659,0.0183940406605837
FBgn0035611,FBtr0306593,down - control,0.533638933588608,0.169640406683685,268,3.14570652134572,0.0224848161951273
FBgn0001565,FBtr0077221,down - control,-0.306545585632241,0.0753883487898021,269,-4.06621965533363,0.000882126061467869
FBgn0031145,FBtr0077241,down - control,0.287136094687603,0.0688469078556466,404,4.17064620083809,0.00122623229073326
FBgn0000719,FBtr0333181,down - control,-0.508984578308916,0.12915150330182,540,-3.94098841512861,0.00516881186166562
FBgn0031191,FBtr0077352,down - control,-0.750239962385617,0.198516467942795,812,-3.77923287755557,0.0194537686674253
FBgn0014033,FBtr0077467,down - control,-0.817637826621775,0.263947034579101,268,-3.09773446754425,0.0260005623964243
FBgn0031589,FBtr0077481,down - control,-0.274059267615219,0.0769292840008527,404,-3.56248301507891,0.0121603359503096
FBgn0014396,FBtr0333258,down - control,1.4624419255768,0.28534910552642,676,5.12509728347963,3.94661644678163e-05
FBgn0051950,FBtr0077630,down - control,0.204442203179921,0.0648935181434042,269,3.15042563616503,0.0221556248597586
FBgn0051950,FBtr0332457,down - control,-0.206977110145598,0.0679108480408992,269,-3.04777684444386,0.0301588043818154
FBgn0041111,FBtr0290038,down - control,-2.37301407825129,0.267437204927393,404,-8.87316362319724,0
FBgn0042627,FBtr0335386,down - control,0.698972220884963,0.15637759383488,268,4.469772195261,0.000167026629845801
FBgn0015600,FBtr0110903,down - control,-0.366202633842793,0.100733901632235,541,-3.63534647133739,0.015828078318384
FBgn0250786,FBtr0331654,down - control,0.186537426361551,0.0433678187006846,269,4.30128680552259,0.000340056241720732
FBgn0004242,FBtr0077728,down - control,-0.742392668555796,0.162061810919332,540,-4.58092294751247,0.000356167324256251
FBgn0026479,FBtr0335173,down - control,0.144903738537927,0.0485347245947514,268,2.985568368788,0.0361622486273132
FBgn0031436,FBtr0077745,down - control,-0.274002740274924,0.0724727453666497,268,-3.78076943116624,0.00262889300871749
FBgn0031418,FBtr0303027,down - control,0.337022425773424,0.101317593360281,269,3.32639588639838,0.0127214521536019
FBgn0014010,FBtr0330668,down - control,-0.294697464944226,0.0857337175036972,540,-3.43735782752588,0.03078125722362
FBgn0031374,FBtr0110882,down - control,2.0016404234392,0.199599243092736,812,10.0282966629749,3.66484620428764e-13
