gene,transcript,contrast,estimate,SE,df,t.ratio,p.value
FBgn0004369,FBtr0303148,down - up,0.950846800427897,0.110396471975158,404,8.61301800153416,0
FBgn0039668,FBtr0085429,down - up,0.213601029734155,0.0572552639637009,404,3.73067932879632,0.00670549019716071
FBgn0039790,FBtr0335443,down - up,-1.01697263901065,0.236350941561066,1085,-4.30280764821025,0.00425627605908629
FBgn0039816,FBtr0334547,down - up,-0.458841130823484,0.0835943903819214,269,-5.48889858191627,1.39031728496608e-06
FBgn0039830,FBtr0306237,down - up,0.196166288798304,0.0361350797947833,268,5.42869394262757,1.89014398099818e-06
FBgn0025720,FBtr0086318,down - up,0.898939524531507,0.249117204267461,540,3.60850037304679,0.0173734207176943
FBgn0034490,FBtr0336635,down - up,-1.03491433915781,0.237066779134462,268,-4.36549710987054,0.000260262569193426
FBgn0034455,FBtr0345929,down - up,0.255077139514767,0.0828242781482463,269,3.07973875797876,0.0274312007648985
FBgn0003435,FBtr0308797,down - up,-0.5457398248443,0.158884948774063,404,-3.43481134654455,0.0187051835574764
FBgn0266711,FBtr0086541,down - up,0.48014460167674,0.163400222439516,269,2.9384574543922,0.0413547375966974
FBgn0020440,FBtr0086542,down - up,1.25240956569515,0.239207685865647,404,5.23565771376833,9.36893564429386e-06
FBgn0265356,FBtr0086573,down - up,-0.429546956917805,0.108208904504856,677,-3.96960822109173,0.00693744970832166
FBgn0034312,FBtr0086749,down - up,0.210643340692274,0.0470820509750752,268,4.47396271678536,0.00016404483757404
FBgn0041585,FBtr0336698,down - up,-0.298739234634949,0.0817202651742915,540,-3.65563222289848,0.0147471607119216
FBgn0016701,FBtr0086829,down - up,-0.283022296590859,0.084702065026833,268,-3.34138602761573,0.0121211578959698
FBgn0028494,FBtr0340273,down - up,0.740715392175635,0.192153441548385,540,3.85481199923822,0.00716491295384747
FBgn0034186,FBtr0087013,down - up,-1.02063896055707,0.243797285922778,268,-4.18642462197201,0.000545627598620757
FBgn0033996,FBtr0310140,down - up,-0.270122957082129,0.0879048997700744,269,-3.07289989282358,0.027995906167273
FBgn0033968,FBtr0087445,down - up,0.631057065108048,0.169616872560409,268,3.7204852063482,0.00327837786231744
FBgn0033906,FBtr0087525,down - up,0.268093815821001,0.0778657408209344,540,3.44302658646155,0.0302215108597842
